ward_id,name,basin,cemetery,commercial,farmland,forest,industrial,plantation,recreation_ground,residential,retail,total_landuse_km2,ward_area_km2,basin_pct,cemetery_pct,commercial_pct,farmland_pct,forest_pct,industrial_pct,plantation_pct,recreation_ground_pct,residential_pct,retail_pct
1,GOTA,0.0,0.0,0.0004302586681808763,0.0,0.0,0.6981810702995879,0.0,0.0,0.9431935884342108,0.0,1.6418049174019795,33.8138621266587,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,2.79,0.0
2,CHANDLODIA,0.020775759458301835,0.0,0.011596749695057565,0.0,0.0,0.1196362927469765,0.0,0.0,0.4491001409257818,0.0,0.6011089428261177,13.710938041925436,0.15,0.0,0.08,0.0,0.0,0.87,0.0,0.0,3.28,0.0
3,CHANDKHEDA,0.0,0.0,0.09740648972827091,0.08521157661058622,0.02322426425382508,0.03064739414300044,0.0,0.005296529467920165,2.484211380724433,0.0,2.725997634928036,11.918371955419419,0.0,0.0,0.82,0.71,0.19,0.26,0.0,0.04,20.84,0.0
4,SABARMATI,0.0,0.0,0.05458257061621306,0.0,0.0,0.5395105738657544,0.0,0.02516307536840982,4.4817614690690135,0.004702286115182713,5.105719975034574,9.792912072402483,0.0,0.0,0.56,0.0,0.0,5.51,0.0,0.26,45.77,0.05
5,RANIP,0.0,0.0,0.002347467091671726,0.0,0.0,0.2943704838100718,0.0,0.0,3.4611957923165315,0.0,3.757913743218275,7.559320483775771,0.0,0.0,0.03,0.0,0.0,3.89,0.0,0.0,45.79,0.0
6,NEW WADAJ,0.0,0.0,0.009767292008298588,0.0,0.0,0.05901120450034736,0.0,0.0,2.16544527119647,0.0,2.2342237677051155,3.1759818076215334,0.0,0.0,0.31,0.0,0.0,1.86,0.0,0.0,68.18,0.0
7,GHATLODIA,0.0,0.0,0.006263816548353416,0.0,0.0,0.0,0.0,0.0,2.023890797868762,0.0,2.0301546144171154,3.005043105533901,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,67.35,0.0
8,THALTEJ,0.0,0.0,0.2325190762489701,0.11430865813419024,0.0,0.15753745982385836,0.0,0.02286487825408871,9.34787255085286,0.012254466332636856,9.887357089646605,28.02643808763393,0.0,0.0,0.83,0.41,0.0,0.56,0.0,0.08,33.35,0.04
9,NARANPURA,0.0,0.0,0.010211208619746323,0.0,0.0,0.041584176591072844,0.0,0.0,3.661818392574768,0.0,3.713613777785587,4.913160566070165,0.0,0.0,0.21,0.0,0.0,0.85,0.0,0.0,74.53,0.0
10,S.P.STADIUM,0.0,0.0,0.12110670574927529,0.0,0.0,0.10251588442285751,0.0,0.0,2.4838810875226076,0.03428159887363002,2.74178527656837,5.250848069217207,0.0,0.0,2.31,0.0,0.0,1.95,0.0,0.0,47.3,0.65
11,SARDARNAGAR,0.0,0.0,0.0,0.0,0.0,0.6191821783511291,0.0,0.0,1.5686775410286153,0.0,2.1878597193797447,8.721460305151574,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,17.99,0.0
12,NARODA,0.0,0.0,0.0,0.0,0.0,3.108257317020555,0.0,0.0,2.903801901336849,0.0,6.012059218357404,13.855661271909455,0.0,0.0,0.0,0.0,0.0,22.43,0.0,0.0,20.96,0.0
13,SAIJPUR BOGHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14005827603902932,0.0,0.14005827603902932,3.1097874264739236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
14,KUBERNAGR,0.0,0.0,0.03347954746467334,0.0,0.0,0.0,0.0,0.0,0.23504211320373206,0.0,0.2685216606684054,2.2360504493541717,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.51,0.0
15,ASARWA,0.0,0.0,0.0,0.0,0.0,0.003979631902517642,0.0,0.0,0.009182200639257796,0.0,0.013161832541775439,2.4401119981612363,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.38,0.0
