ward_id,ward_name,city,pixel_count,ndvi_mean
1,GOTA,ahmedabad,338030,0.1942
2,CHANDLODIA,ahmedabad,137107,0.166
3,CHANDKHEDA,ahmedabad,119174,0.1574
4,SABARMATI,ahmedabad,97789,0.1636
5,RANIP,ahmedabad,75606,0.1247
6,NEW WADAJ,ahmedabad,31761,0.1063
7,GHATLODIA,ahmedabad,30050,0.0924
8,THALTEJ,ahmedabad,280113,0.2042
9,NARANPURA,ahmedabad,49137,0.1342
10,S.P.STADIUM,ahmedabad,51414,0.13
11,SARDARNAGAR,ahmedabad,87204,0.1577
12,NARODA,ahmedabad,138502,0.1447
13,SAIJPUR BOGHA,ahmedabad,30784,0.0897
14,KUBERNAGR,ahmedabad,22334,0.089
15,ASARWA,ahmedabad,24290,0.121
16,SHAHIBAG,ahmedabad,44257,0.1567
17,SHAHPUR,ahmedabad,37381,0.1468
18,NAVRANGPURA,ahmedabad,119101,0.1882
19,BODAKDEV,ahmedabad,129540,0.1873
20,JODHPUR,ahmedabad,98709,0.1974
21,DARIYAPUR,ahmedabad,16205,0.0899
22,INDIA COLONY,ahmedabad,45192,0.1199
23,THAKKARBAPANAGAR,ahmedabad,30849,0.0849
24,NIKOL,ahmedabad,114707,0.1099
25,VIRATNAGAR,ahmedabad,36796,0.091
26,BAPUNAGAR,ahmedabad,26535,0.1114
27,SARASPUR-RAKHIYAL,ahmedabad,30633,0.1281
28,KHADIA,ahmedabad,32553,0.0885
29,JAMALPUR,ahmedabad,27372,0.1338
30,PALDI,ahmedabad,55245,0.1288
31,VASNA,ahmedabad,55454,0.1427
32,VEJALPUR,ahmedabad,29030,0.1134
33,SARKHEJ,ahmedabad,236206,0.1888
34,MAKTAMPURA,ahmedabad,251702,0.1915
35,BAHERAMPURA,ahmedabad,101977,0.1425
36,DANILIMDA,ahmedabad,35492,0.1321
37,MANINAGAR,ahmedabad,45396,0.1189
38,GOMTIPUR,ahmedabad,32400,0.1245
39,AMRAIWADI,ahmedabad,31369,0.117
40,ODHAV,ahmedabad,54542,0.0987
41,VASTRAL,ahmedabad,134634,0.1522
42,INDRAPURI,ahmedabad,32904,0.0813
43,BHAIPURA HATKESHWAR,ahmedabad,19379,0.0719
44,KHOKHRA,ahmedabad,35852,0.1183
45,ISANPUR,ahmedabad,40917,0.0802
46,LAMBHA,ahmedabad,480959,0.1845
47,VATVA,ahmedabad,111588,0.1717
48,RAMOL HATHIJAN,ahmedabad,307874,0.1742
