ward_id,name,area_m2,area_km2,perimeter_m,perimeter_km,compactness,centroid_lon,centroid_lat,road_length_km,road_density_km_per_km2,basin_pct,cemetery_pct,commercial_pct,farmland_pct,forest_pct,industrial_pct,plantation_pct,recreation_ground_pct,residential_pct,retail_pct
1,GOTA,33813862.1266587,33.8138621266587,31307.157739035705,31.307157739035706,0.4335282061233222,72.51919555761938,23.09971197039403,133.024,3.934,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,2.79,0.0
2,CHANDLODIA,13710938.041925436,13.710938041925436,21964.941752091065,21.964941752091065,0.3571222593474091,72.55123890328248,23.10918603994828,52.755,3.848,0.15,0.0,0.08,0.0,0.0,0.87,0.0,0.0,3.28,0.0
3,CHANDKHEDA,11918371.95541942,11.91837195541942,16838.060322625104,16.838060322625104,0.5282538572781127,72.58979061538041,23.115427849222527,76.413,6.411,0.0,0.0,0.82,0.71,0.19,0.26,0.0,0.04,20.84,0.0
4,SABARMATI,9792912.072402485,9.792912072402483,18819.83794607334,18.819837946073346,0.3474481152593638,72.59609124099364,23.092121346736143,39.681,4.052,0.0,0.0,0.56,0.0,0.0,5.51,0.0,0.26,45.77,0.05
5,RANIP,7559320.483775771,7.559320483775771,13314.242400754652,13.314242400754653,0.5358703192322087,72.57050260646734,23.087556763257435,30.847,4.081,0.0,0.0,0.03,0.0,0.0,3.89,0.0,0.0,45.79,0.0
6,NEW WADAJ,3175981.807621533,3.1759818076215334,10524.915174466209,10.524915174466209,0.3602887167629465,72.56481374904452,23.070604972520137,30.349,9.556,0.0,0.0,0.31,0.0,0.0,1.86,0.0,0.0,68.18,0.0
7,GHATLODIA,3005043.1055339007,3.005043105533901,9159.511523182082,9.159511523182085,0.4501071827257997,72.54540333932368,23.06967942140324,24.266,8.075,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,67.35,0.0
8,THALTEJ,28026438.08763393,28.02643808763393,37885.76398293063,37.88576398293063,0.2453723777915698,72.49103912191383,23.062384906457176,135.195,4.824,0.0,0.0,0.83,0.41,0.0,0.56,0.0,0.08,33.35,0.04
9,NARANPURA,4913160.5660701655,4.913160566070165,10141.025021150905,10.141025021150902,0.6003535913648791,72.55203546712148,23.05746891934111,39.827,8.106,0.0,0.0,0.21,0.0,0.0,0.85,0.0,0.0,74.53,0.0
10,S.P.STADIUM,5250848.069217207,5.250848069217207,13864.427598211536,13.864427598211536,0.343269666487963,72.57473019652777,23.0580015068194,53.107,10.114,0.0,0.0,2.31,0.0,0.0,1.95,0.0,0.0,47.3,0.65
11,SARDARNAGAR,8721460.305151574,8.721460305151574,24365.096303967784,24.365096303967785,0.1846132245323107,72.64343148826538,23.0893931302648,34.473,3.953,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,17.99,0.0
12,NARODA,13855661.271909457,13.855661271909456,23035.419000337097,23.035419000337097,0.328129207219024,72.67130930176737,23.080259924894037,67.33,4.859,0.0,0.0,0.0,0.0,0.0,22.43,0.0,0.0,20.96,0.0
13,SAIJPUR BOGHA,3109787.4264739235,3.109787426473924,9891.353471056624,9.891353471056624,0.3994193712500769,72.63913109519102,23.060732588521613,22.027,7.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
14,KUBERNAGR,2236050.449354172,2.236050449354172,10478.449454865631,10.478449454865633,0.2559159865245745,72.63452611478644,23.069455181822647,4.83,2.16,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.51,0.0
15,ASARWA,2440111.9981612363,2.4401119981612363,8227.571886507385,8.227571886507384,0.4529771065569782,72.61308867344393,23.04978165346924,16.487,6.757,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.38,0.0
16,SHAHIBAG,4434465.72550619,4.434465725506191,12337.853389871312,12.337853389871311,0.3660765889333576,72.59867664387328,23.05001343759456,30.524,6.883,0.0,1.99,10.57,0.0,0.0,4.9,0.0,0.0,47.75,0.0
17,SHAHPUR,3781172.211550223,3.7811722115502233,9702.171425902232,9.702171425902232,0.504775693235201,72.58285718396003,23.047375685696952,36.395,9.625,0.0,0.02,2.11,0.0,0.0,0.0,0.0,0.0,47.31,0.09
18,NAVRANGPURA,12001909.652034122,12.001909652034122,15579.296257867774,15.579296257867776,0.6213904082143554,72.55266628373869,23.03043799668365,128.488,10.706,0.0,0.0,6.26,0.0,0.0,0.0,0.0,0.13,52.01,0.0
19,BODAKDEV,12953594.847613417,12.953594847613417,24995.201530438462,24.99520153043846,0.2605474865653726,72.50640445132119,23.03548794902102,104.816,8.092,0.0,0.0,2.4,0.0,0.31,0.14,0.01,1.58,61.49,0.13
20,JODHPUR,9872182.14456964,9.87218214456964,18008.02994157131,18.00802994157131,0.382552122133893,72.50783705520242,23.018974423615184,91.957,9.315,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,42.63,0.0
21,DARIYAPUR,1620683.075579335,1.6206830755793349,7466.559160166222,7.466559160166222,0.3653145247344527,72.58922616499865,23.03399010242319,8.518,5.256,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,81.56,0.78
22,INDIA COLONY,4573052.533906986,4.573052533906986,11292.099718795713,11.292099718795711,0.4506782975846476,72.62312461212615,23.043693777318563,27.825,6.085,0.0,0.0,0.0,0.0,0.0,8.37,0.0,0.0,3.79,0.0
23,THAKKARBAPANAGAR,3096415.9206292154,3.0964159206292154,9391.50454929619,9.39150454929619,0.4411627237093513,72.64912122215868,23.0494745256147,14.553,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0
24,NIKOL,11493370.65424202,11.49337065424202,18164.170520895736,18.16417052089573,0.4377499811786823,72.67107147045537,23.047872453199176,75.942,6.607,0.0,0.0,0.1,0.0,0.0,14.18,0.0,0.0,9.96,0.0
25,VIRATNAGAR,3745445.9435890014,3.745445943589002,11797.202982975808,11.797202982975806,0.338185741910412,72.64449716778955,23.02887533008035,32.974,8.804,0.0,0.0,0.0,0.0,0.0,19.59,0.0,0.0,4.63,0.0
26,BAPUNAGAR,2681767.5126826465,2.6817675126826463,7119.106355743596,7.119106355743597,0.6649362765441176,72.63088343731916,23.0324887169302,23.586,8.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0
27,SARASPUR-RAKHIYAL,3060012.809983101,3.060012809983101,9326.094923522473,9.326094923522472,0.4421131632485032,72.61527310884172,23.029800586267815,25.682,8.393,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,68.02,0.0
