name,category,city,lat,lon,source
Ward 1,Ward,Gandhinagar,23.275915,72.633877,OSM
Ward 2,Ward,Gandhinagar,23.279188,72.673877,OSM
Ward 3,Ward,Gandhinagar,23.246339,72.650666,OSM
Ward 4,Ward,Gandhinagar,23.222156,72.684146,OSM
Ward 5,Ward,Gandhinagar,23.227006,72.661557,OSM
Ward 6,Ward,Gandhinagar,23.230906,72.639394,OSM
Ward 7,Ward,Gandhinagar,23.245837,72.605752,OSM
Ward 8,Ward,Gandhinagar,23.179452,72.612242,OSM
Ward 9,Ward,Gandhinagar,23.179544,72.631352,OSM
Ward 10,Ward,Gandhinagar,23.178852,72.647811,OSM
Ward 11,Ward,Gandhinagar,23.126547,72.62862,OSM
GOTA,Ward,Ahmedabad,23.09916,72.522327,OSM
CHANDLODIA,Ward,Ahmedabad,23.107124,72.554185,OSM
CHANDKHEDA,Ward,Ahmedabad,23.114888,72.587407,OSM
SABARMATI,Ward,Ahmedabad,23.090364,72.590478,OSM
RANIP,Ward,Ahmedabad,23.087972,72.568628,OSM
NEW WADAJ,Ward,Ahmedabad,23.069587,72.563118,OSM
GHATLODIA,Ward,Ahmedabad,23.069819,72.546777,OSM
THALTEJ,Ward,Ahmedabad,23.069069,72.486938,OSM
NARANPURA,Ward,Ahmedabad,23.058943,72.549999,OSM
S.P.STADIUM,Ward,Ahmedabad,23.056658,72.576694,OSM
SARDARNAGAR,Ward,Ahmedabad,23.091697,72.654321,OSM
NARODA,Ward,Ahmedabad,23.080663,72.669946,OSM
SAIJPUR BOGHA,Ward,Ahmedabad,23.062685,72.638192,OSM
KUBERNAGR,Ward,Ahmedabad,23.06934,72.636151,OSM
ASARWA,Ward,Ahmedabad,23.048997,72.613388,OSM
SHAHIBAG,Ward,Ahmedabad,23.04765,72.598575,OSM
SHAHPUR,Ward,Ahmedabad,23.047349,72.582453,OSM
NAVRANGPURA,Ward,Ahmedabad,23.028254,72.553701,OSM
BODAKDEV,Ward,Ahmedabad,23.033782,72.506322,OSM
JODHPUR,Ward,Ahmedabad,23.020793,72.510882,OSM
DARIYAPUR,Ward,Ahmedabad,23.033229,72.591201,OSM
INDIA COLONY,Ward,Ahmedabad,23.044295,72.62722,OSM
THAKKARBAPANAGAR,Ward,Ahmedabad,23.050607,72.649735,OSM
NIKOL,Ward,Ahmedabad,23.048011,72.667961,OSM
VIRATNAGAR,Ward,Ahmedabad,23.02753,72.644309,OSM
BAPUNAGAR,Ward,Ahmedabad,23.032272,72.630711,OSM
SARASPUR-RAKHIYAL,Ward,Ahmedabad,23.030859,72.611682,OSM
KHADIA,Ward,Ahmedabad,23.022044,72.592856,OSM
JAMALPUR,Ward,Ahmedabad,23.023116,72.579667,OSM
PALDI,Ward,Ahmedabad,23.009927,72.561181,OSM
VASNA,Ward,Ahmedabad,22.997186,72.549606,OSM
VEJALPUR,Ward,Ahmedabad,23.0054,72.525361,OSM
SARKHEJ,Ward,Ahmedabad,22.985482,72.491999,OSM
MAKTAMPURA,Ward,Ahmedabad,22.961444,72.505985,OSM
BAHERAMPURA,Ward,Ahmedabad,22.991999,72.569795,OSM
DANILIMDA,Ward,Ahmedabad,22.997929,72.587583,OSM
MANINAGAR,Ward,Ahmedabad,22.99952,72.602136,OSM
GOMTIPUR,Ward,Ahmedabad,23.018856,72.620603,OSM
AMRAIWADI,Ward,Ahmedabad,23.008482,72.626892,OSM
ODHAV,Ward,Ahmedabad,23.021571,72.66566,OSM
VASTRAL,Ward,Ahmedabad,23.001636,72.668507,OSM
INDRAPURI,Ward,Ahmedabad,22.999276,72.640481,OSM
BHAIPURA HATKESHWAR,Ward,Ahmedabad,22.994712,72.629887,OSM
KHOKHRA,Ward,Ahmedabad,22.996354,72.619247,OSM
ISANPUR,Ward,Ahmedabad,22.97676,72.598715,OSM
LAMBHA,Ward,Ahmedabad,22.948561,72.572987,OSM
VATVA,Ward,Ahmedabad,22.95093,72.626843,OSM
RAMOL HATHIJAN,Ward,Ahmedabad,22.957319,72.644978,OSM
Narol-Sarkhej Road,Road,Ahmedabad,22.99136,72.536588,OSM
Vishala Bridge,Road,Ahmedabad,22.980685,72.543858,OSM
Vishala Bridge,Road,Ahmedabad,22.985031,72.541094,OSM
Narol-Sarkhej Road,Road,Ahmedabad,22.989448,72.537773,OSM
H8A,Road,Ahmedabad,22.986978,72.501754,OSM
Ujala Flyover,Road,Ahmedabad,22.985842,72.500341,OSM
Narol Sarkhej Road,Road,Ahmedabad,22.975102,72.561337,OSM
Swami Vivekananda Bridge,Road,Ahmedabad,23.022432,72.573557,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.01298,72.567377,OSM
Ramdevnagar road,Road,Ahmedabad,23.024404,72.51171,OSM
lal bahadur shashtri road,Road,Ahmedabad,23.015869,72.51801,OSM
Corporate road,Road,Ahmedabad,23.00586,72.505467,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.021578,72.552038,OSM
