city,town,ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_AL_P,MAIN_HH_P,MAIN_OT_P,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,pop_2026_est
Gandhinagar,Gandhinagar (NA) WARD NO.-0001,1,1506,6430,3411,3019,542,335,207,665,348,317,324,178,146,5688,3031,2657,742,380,362,2313,1840,473,1815,1565,250,16,5,7,1787,498,275,223,4117,1571,2546,9313
Gandhinagar,Gandhinagar (NA) WARD NO.-0002,2,1577,7089,3720,3369,611,330,281,389,215,174,344,189,155,6210,3328,2882,879,392,487,2306,1866,440,2122,1745,377,33,9,15,2065,184,121,63,4783,1854,2929,10267
Gandhinagar,Gandhinagar (NA) WARD NO.-0003,3,1253,5782,3072,2710,421,230,191,604,323,281,379,206,173,5150,2797,2353,632,275,357,1763,1510,253,1680,1458,222,13,2,6,1659,83,52,31,4019,1562,2457,8374
Gandhinagar,Gandhinagar (NA) WARD NO.-0004,4,1512,7048,3674,3374,594,346,248,744,376,368,193,100,93,6277,3304,2973,771,370,401,2767,1995,772,2549,1871,678,25,7,30,2487,218,124,94,4281,1679,2602,10208
Gandhinagar,Gandhinagar (NA) WARD NO.-0005,5,1160,5408,2886,2522,466,275,191,131,69,62,13,6,7,4750,2563,2187,658,323,335,1737,1499,238,1692,1466,226,17,3,15,1657,45,33,12,3671,1387,2284,7832
Gandhinagar,Gandhinagar (NA) WARD NO.-0006,6,1637,7461,3945,3516,779,425,354,684,352,332,118,59,59,5809,3237,2572,1652,708,944,2479,2103,376,2420,2065,355,26,2,23,2369,59,38,21,4982,1842,3140,10806
Gandhinagar,Gandhinagar (NA) WARD NO.-0007,7,2986,14604,7581,7023,1657,893,764,3217,1670,1547,983,501,482,11106,6145,4961,3498,1436,2062,5193,4155,1038,4183,3650,533,12,4,195,3972,1010,505,505,9411,3426,5985,21151
Gandhinagar,Gandhinagar (NA) WARD NO.-0008,8,1408,6147,3241,2906,436,261,175,521,271,250,201,108,93,5427,2897,2530,720,344,376,1864,1545,319,1809,1506,303,5,14,0,1790,55,39,16,4283,1696,2587,8903
Gandhinagar,Gandhinagar (NA) WARD NO.-0009,9,1834,8005,4177,3828,566,313,253,778,400,378,373,211,162,7186,3803,3383,819,374,445,2558,2144,414,2399,2024,375,9,1,3,2386,159,120,39,5447,2033,3414,11594
Gandhinagar,Gandhinagar (NA) WARD NO.-0010,10,1175,5239,2726,2513,427,232,195,525,278,247,290,151,139,4608,2455,2153,631,271,360,1633,1394,239,1518,1327,191,9,4,12,1493,115,67,48,3606,1332,2274,7588
