ward_id,name,commercial,farmland,forest,industrial,recreation_ground,residential,retail,total_landuse_km2,ward_area_km2,commercial_pct,farmland_pct,forest_pct,industrial_pct,recreation_ground_pct,residential_pct,retail_pct
1,Ward No - 1,0.04416667203272758,0.4427751179682855,0.0,1.299677025819392,0.0,1.051031398121937,0.0,2.837650213942342,21.79341712043959,0.2,2.03,0.0,5.96,0.0,4.82,0.0
2,Ward No - 2,0.0,0.0,0.0,0.32318283545726567,0.0,0.24853927828077654,0.0,0.5717221137380422,23.070845818459006,0.0,0.0,0.0,1.4,0.0,1.08,0.0
3,Ward No - 3,0.054251855577805194,0.0,0.0,0.0,0.0,1.1828720605639704,0.05321580317072896,1.2903397193125046,2.549836460791138,2.13,0.0,0.0,0.0,0.0,46.39,2.09
4,Ward No - 4,0.0,0.025589933379779675,13.139573464237104,1.1983071730779067,0.0,3.493467342065877,0.0,17.856937912760667,24.276581626069145,0.0,0.11,54.12,4.94,0.0,14.39,0.0
5,Ward No - 5,1.672918144069693,0.0,0.2289097766391287,0.0,0.0,2.8124269442360563,0.07493624598340279,4.7891911109282805,8.685875581203183,19.26,0.0,2.64,0.0,0.0,32.38,0.86
6,Ward No - 6,0.3026683758798694,0.0,0.0,0.512605963078004,0.0765622154341402,1.5687834581600955,0.0,2.460620012552109,7.613330107315509,3.98,0.0,0.0,6.73,1.01,20.61,0.0
7,Ward No - 7,0.0,1.462419854533728,0.0,0.011121518714152921,0.0,2.111865151774459,0.0,3.58540652502234,23.957973898769705,0.0,6.1,0.0,0.05,0.0,8.81,0.0
8,Ward No - 8,0.005284118456800647,0.0,0.0,0.001584205959501296,0.0,4.372599091166117,0.0,4.379467415582418,19.59678574802129,0.03,0.0,0.0,0.01,0.0,22.31,0.0
9,Ward No - 9,0.7238497701539789,0.0,0.0,0.04228102669110387,0.0,6.125674903716894,0.0,6.891805700561977,9.811469879277498,7.38,0.0,0.0,0.43,0.0,62.43,0.0
10,Ward No - 10,0.08808119470140398,0.03660601578002351,0.32874316341982424,0.02804332895500144,0.0,6.663500358160675,0.0,7.144974061016929,20.271327486944198,0.43,0.18,1.62,0.14,0.0,32.87,0.0
11,Ward No - 11,0.025846473731851116,0.0,0.0,0.9886194670195931,0.0015425830469839058,1.0977852478168653,0.0,2.1137937716152937,34.04440822585631,0.08,0.0,0.0,2.9,0.0,3.22,0.0
