ward_id,name,ndvi_mean,cells
AMC-01,Gota,0.1942,337939
AMC-02,Chandlodia,0.166,135948
AMC-03,Chandkheda,0.156,116242
AMC-04,Sabarmati,0.1609,93815
AMC-05,Ranip,0.1247,75596
AMC-06,New Wadaj,0.1063,31767
AMC-07,Ghatlodia,0.0924,30045
AMC-08,Thaltej,0.2042,280114
AMC-09,Naranpura,0.1342,49130
AMC-10,S.P.Stadium,0.1301,51410
AMC-11,Sardarnagar,0.1576,87158
AMC-12,Naroda,0.1447,138510
AMC-13,Saijpur Bogha,0.0898,30787
AMC-14,Kubernagr,0.089,22335
AMC-15,Asarwa,0.1211,24270
AMC-16,Shahibag,0.1567,44267
AMC-17,Shahpur,0.1467,37377
AMC-18,Navrangpura,0.1883,119116
AMC-19,Bodakdev,0.1872,129538
AMC-20,Jodhpur,0.1974,98704
AMC-21,Dariyapur,0.0899,16206
AMC-22,India Colony,0.1199,45184
AMC-23,Thakkarbapanagar,0.0849,30848
AMC-24,Nikol,0.1099,114696
AMC-25,Viratnagar,0.091,36797
AMC-26,Bapunagar,0.1114,26544
AMC-27,Saraspur-Rakhiyal,0.1282,30622
AMC-28,Khadia,0.0885,32550
AMC-29,Jamalpur,0.1337,27372
AMC-30,Paldi,0.129,55245
AMC-31,Vasna,0.1427,55448
AMC-32,Vejalpur,0.1134,29024
AMC-33,Sarkhej,0.1888,236207
AMC-34,Maktampura,0.1914,251715
AMC-35,Baherampura,0.1425,101977
AMC-36,Danilimda,0.132,35497
AMC-37,Maninagar,0.1189,45395
AMC-38,Gomtipur,0.1245,32409
AMC-39,Amraiwadi,0.1171,31362
AMC-40,Odhav,0.0987,54556
AMC-41,Vastral,0.1522,134632
AMC-42,Indrapuri,0.0812,32887
AMC-43,Bhaipura Hatkeshwar,0.072,19387
AMC-44,Khokhra,0.1183,35850
AMC-45,Isanpur,0.0802,40917
AMC-46,Lambha,0.1845,480988
AMC-47,Vatva,0.1717,111595
AMC-48,Ramol Hathijan,0.1741,307860
GMC-01,Ward No. 1,0.2382,217893
GMC-02,Ward No. 2,0.2451,230754
GMC-03,Ward No. 3,0.1968,25496
GMC-04,Ward No. 4,0.2202,242576
GMC-05,Ward No. 5,0.2405,86856
GMC-06,Ward No. 6,0.2149,76132
GMC-07,Ward No. 7,0.2216,239599
GMC-08,Ward No. 8,0.2058,195967
GMC-09,Ward No. 9,0.225,98110
GMC-10,Ward No. 10,0.1903,202732
GMC-11,Ward No. 11,0.1992,340404
TAL-SANAND,Sanand (rural),0.2077,8005271
TAL-DASKRO,Daskroi (rural),0.2445,5009223
TAL-KALOL,Kalol (rural),0.2424,4866354
TAL-GANDHI,Gandhinagar (rural),0.2444,4763433
TAL-ASARVA,Asarva (rural),0.1982,96320
